City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
353,yokadouma,3.5167,15.05,21.22,98,81,0.94,CM,1727815344
354,bereeda,11.8704,51.0579,27.29,73,7,6.16,SO,1727815344
355,tezu,27.9167,96.1667,23.21,97,84,1.7,IN,1727815344
356,jackson,42.4165,-122.8345,29.86,13,0,1.11,US,1727815298
357,moapa valley,36.5805,-114.4703,38.99,7,0,0.64,US,1727815344
358,yugo-kamskiy,57.7053,55.5894,2.54,67,7,1.42,RU,1727815344
359,taulaga,-11.0553,-171.0883,25.71,84,100,6.28,AS,1727815344
360,ceuta,35.8903,-5.3075,21.16,75,8,2.72,ES,1727815344
361,atar,20.5169,-13.0499,35.53,20,36,3.52,MR,1727815344
362,saint-pierre,-21.3393,55.4781,21.82,64,0,1.54,RE,1727815344
363,trondheim,63.4305,10.3951,7.22,93,81,0.89,NO,1727815344
364,saudarkrokur,65.7461,-19.6394,6.74,93,100,7.45,IS,1727815345
365,bodaybo,57.8506,114.1933,4.19,93,100,2.75,RU,1727815345
